Value,Description
AED,UnitedArabEmiratesDirham
AFN,AfghanAfghani
ALL,AlbanianLek
AMD,ArmenianDram
ANG,NetherlandsAntilleanGuilder
AOA,AngolanKwanza
ARS,ArgentinePeso
AUD,AustralianDollar
AWG,ArubanFlorin
AZN,AzerbaijaniManat
BAM,Bosnia-HerzegovinaConvertibleMark
BBD,BarbadianDollar
BDT,BangladeshiTaka
BGN,BulgarianLev
BHD,BahrainiDinar
BIF,BurundianFranc
BMD,BermudanDollar
BND,BruneiDollar
BOB,BolivianBoliviano
BRL,BrazilianReal
BSD,BahamianDollar
BTC,Bitcoin
BTN,BhutaneseNgultrum
BWP,BotswananPula
BYN,NewBelarusianRuble
BYR,BelarusianRuble
BZD,BelizeDollar
CAD,CanadianDollar
CDF,CongoleseFranc
CHF,SwissFranc
CLF,ChileanUnitofAccount(UF)
CLP,ChileanPeso
CNY,ChineseYuan
COP,ColombianPeso
CRC,CostaRicanCol\u00f3n
CUC,CubanConvertiblePeso
CUP,CubanPeso
CVE,CapeVerdeanEscudo
CZK,CzechRepublicKoruna
DJF,DjiboutianFranc
DKK,DanishKrone
DOP,DominicanPeso
DZD,AlgerianDinar
EGP,EgyptianPound
ERN,EritreanNakfa
ETB,EthiopianBirr
EUR,Euro
FJD,FijianDollar
FKP,FalklandIslandsPound
GBP,BritishPoundSterling
GEL,GeorgianLari
GGP,GuernseyPound
GHS,GhanaianCedi
GIP,GibraltarPound
GMD,GambianDalasi
GNF,GuineanFranc
GTQ,GuatemalanQuetzal
GYD,GuyanaeseDollar
HKD,HongKongDollar
HNL,HonduranLempira
HRK,CroatianKuna
HTG,HaitianGourde
HUF,HungarianForint
IDR,IndonesianRupiah
ILS,IsraeliNewSheqel
IMP,Manxpound
INR,IndianRupee
IQD,IraqiDinar
IRR,IranianRial
ISK,IcelandicKr\u00f3na
JEP,JerseyPound
JMD,JamaicanDollar
JOD,JordanianDinar
JPY,JapaneseYen
KES,KenyanShilling
KGS,KyrgystaniSom
KHR,CambodianRiel
KMF,ComorianFranc
KPW,NorthKoreanWon
KRW,SouthKoreanWon
KWD,KuwaitiDinar
KYD,CaymanIslandsDollar
KZT,KazakhstaniTenge
LAK,LaotianKip
LBP,LebanesePound
LKR,SriLankanRupee
LRD,LiberianDollar
LSL,LesothoLoti
LTL,LithuanianLitas
LVL,LatvianLats
LYD,LibyanDinar
MAD,MoroccanDirham
MDL,MoldovanLeu
MGA,MalagasyAriary
MKD,MacedonianDenar
MMK,MyanmaKyat
MNT,MongolianTugrik
MOP,MacanesePataca
MRO,MauritanianOuguiya
MUR,MauritianRupee
MVR,MaldivianRufiyaa
MWK,MalawianKwacha
MXN,MexicanPeso
MYR,MalaysianRinggit
MZN,MozambicanMetical
NAD,NamibianDollar
NGN,NigerianNaira
NIO,NicaraguanC\u00f3rdoba
NOK,NorwegianKrone
NPR,NepaleseRupee
NZD,NewZealandDollar
OMR,OmaniRial
PAB,PanamanianBalboa
PEN,PeruvianNuevoSol
PGK,PapuaNewGuineanKina
PHP,PhilippinePeso
PKR,PakistaniRupee
PLN,PolishZloty
PYG,ParaguayanGuarani
QAR,QatariRial
RON,RomanianLeu
RSD,SerbianDinar
RUB,RussianRuble
RWF,RwandanFranc
SAR,SaudiRiyal
SBD,SolomonIslandsDollar
SCR,SeychelloisRupee
SDG,SudanesePound
SEK,SwedishKrona
SGD,SingaporeDollar
SHP,SaintHelenaPound
SLE,SierraLeoneanLeone
SLL,SierraLeoneanLeone
SOS,SomaliShilling
SRD,SurinameseDollar
STD,S\u00e3oTom\u00e9andPr\u00edncipeDobra
SVC,SalvadoranCol\u00f3n
SYP,SyrianPound
SZL,SwaziLilangeni
THB,ThaiBaht
TJS,TajikistaniSomoni
TMT,TurkmenistaniManat
TND,TunisianDinar
TOP,TonganPa\u02bbanga
TRY,TurkishLira
TTD,TrinidadandTobagoDollar
TWD,NewTaiwanDollar
TZS,TanzanianShilling
UAH,UkrainianHryvnia
UGX,UgandanShilling
USD,UnitedStatesDollar
UYU,UruguayanPeso
UZS,UzbekistanSom
VEF,VenezuelanBol\u00edvarFuerte
VES,SovereignBolivar
VND,VietnameseDong
VUV,VanuatuVatu
WST,SamoanTala
XAF,CFAFrancBEAC
XAG,Silver(troyounce)
XAU,Gold(troyounce)
XCD,EastCaribbeanDollar
XDR,SpecialDrawingRights
XOF,CFAFrancBCEAO
XPF,CFPFranc
YER,YemeniRial
ZAR,SouthAfricanRand
ZMK,ZambianKwacha(pre-2013)
ZMW,ZambianKwacha
ZWL,ZimbabweanDollar
